"rules","support","confidence","lift"
"{honey} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{tidbits} => {rolls/buns}",0.00122013218098627,0.521739130434783,2.83654192804095
"{cocoa drinks} => {whole milk}",0.00132180986273513,0.590909090909091,2.31261078754115
"{pudding powder} => {whole milk}",0.00132180986273513,0.565217391304348,2.21206249243066
"{cooking chocolate} => {whole milk}",0.00132180986273513,0.52,2.03509749303621
"{cereals} => {whole milk}",0.00366039654295882,0.642857142857143,2.51591723040191
"{jam} => {whole milk}",0.00294865277071683,0.547169811320755,2.14143059862301
"{specialty cheese} => {other vegetables}",0.00427046263345196,0.5,2.58407777193904
"{rice} => {other vegetables}",0.00396542958820539,0.52,2.68744088281661
"{rice} => {whole milk}",0.00467717336044738,0.613333333333333,2.40037140204271
"{baking powder} => {whole milk}",0.00925266903914591,0.522988505747126,2.04679345563987
"{liver loaf,yogurt} => {whole milk}",0.00101677681748856,0.666666666666667,2.60909935004642
"{tropical fruit,curd cheese} => {other vegetables}",0.00101677681748856,0.666666666666667,3.44543702925206
"{curd cheese,rolls/buns} => {whole milk}",0.00101677681748856,0.625,2.44603064066852
"{other vegetables,curd cheese} => {whole milk}",0.00122013218098627,0.571428571428571,2.23637087146836
"{whole milk,curd cheese} => {other vegetables}",0.00122013218098627,0.521739130434783,2.69642897941465
"{other vegetables,cleaner} => {whole milk}",0.00101677681748856,0.625,2.44603064066852
"{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694
"{soda,liquor} => {bottled beer}",0.00122013218098627,0.571428571428571,7.0959595959596
"{curd,cereals} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331
"{root vegetables,cereals} => {whole milk}",0.00101677681748856,0.769230769230769,3.01049925005357
"{yogurt,cereals} => {whole milk}",0.00172852058973055,0.80952380952381,3.16819206791352
"{other vegetables,cereals} => {whole milk}",0.00132180986273513,0.65,2.54387186629526
"{butter,jam} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803
"{root vegetables,jam} => {other vegetables}",0.00101677681748856,0.526315789473684,2.72008186519899
"{other vegetables,jam} => {root vegetables}",0.00101677681748856,0.555555555555556,5.09691127694859
"{root vegetables,jam} => {whole milk}",0.00132180986273513,0.684210526315789,2.67775985925817
"{other vegetables,jam} => {whole milk}",0.00132180986273513,0.722222222222222,2.82652429588363
"{whipped/sour cream,instant coffee} => {other vegetables}",0.00101677681748856,0.769230769230769,3.97550426452161
"{other vegetables,instant coffee} => {whipped/sour cream}",0.00101677681748856,0.526315789473684,7.34229189996267
"{other vegetables,instant coffee} => {soda}",0.00101677681748856,0.526315789473684,3.01825993555317
"{other vegetables,instant coffee} => {whole milk}",0.00101677681748856,0.526315789473684,2.05981527635244
"{yogurt,vinegar} => {other vegetables}",0.00101677681748856,0.555555555555556,2.87119752437671
"{other vegetables,vinegar} => {whole milk}",0.00132180986273513,0.541666666666667,2.11989322191272
"{whole milk,vinegar} => {other vegetables}",0.00132180986273513,0.5,2.58407777193904
"{salty snack,popcorn} => {soda}",0.00122013218098627,0.545454545454545,3.12801484230056
"{soda,popcorn} => {salty snack}",0.00122013218098627,0.631578947368421,16.6977928692699
"{tropical fruit,candles} => {whole milk}",0.00101677681748856,0.666666666666667,2.60909935004642
"{root vegetables,candles} => {other vegetables}",0.00101677681748856,0.588235294117647,3.04009149639888
"{soups,bottled beer} => {whole milk}",0.00111845449923742,0.916666666666667,3.58751160631383
"{whipped/sour cream,soups} => {other vegetables}",0.00101677681748856,0.666666666666667,3.44543702925206
"{pip fruit,soups} => {other vegetables}",0.00101677681748856,0.714285714285714,3.69153967419863
"{root vegetables,soups} => {other vegetables}",0.00122013218098627,0.705882352941177,3.64810979567865
"{root vegetables,soups} => {whole milk}",0.00111845449923742,0.647058823529412,2.53236113386859
"{other vegetables,soups} => {whole milk}",0.00183019827147941,0.580645161290323,2.27244136939527
"{whole milk,soups} => {other vegetables}",0.00183019827147941,0.620689655172414,3.20782068240709
"{tropical fruit,dog food} => {yogurt}",0.00101677681748856,0.625,4.48022959183673
"{yogurt,dog food} => {tropical fruit}",0.00101677681748856,0.526315789473684,5.01580987352101
"{tropical fruit,dog food} => {whole milk}",0.00101677681748856,0.625,2.44603064066852
"{root vegetables,dog food} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{yogurt,dog food} => {whole milk}",0.00122013218098627,0.631578947368421,2.47177833162293
"{other vegetables,dog food} => {whole milk}",0.00111845449923742,0.5,1.95682451253482
"{Instant food products,soda} => {hamburger meat}",0.00122013218098627,0.631578947368421,18.9956542732979
"{hamburger meat,Instant food products} => {whole milk}",0.00152516522623284,0.5,1.95682451253482
"{whole milk,Instant food products} => {hamburger meat}",0.00152516522623284,0.5,15.0382262996942
"{root vegetables,Instant food products} => {other vegetables}",0.00101677681748856,0.526315789473684,2.72008186519899
"{yogurt,Instant food products} => {whole milk}",0.00111845449923742,0.785714285714286,3.075009948269
"{other vegetables,Instant food products} => {whole milk}",0.00152516522623284,0.555555555555556,2.17424945837202
"{whole milk,Instant food products} => {other vegetables}",0.00152516522623284,0.5,2.58407777193904
"{whipped/sour cream,specialty cheese} => {other vegetables}",0.00101677681748856,0.714285714285714,3.69153967419863
"{citrus fruit,specialty cheese} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{specialty cheese,bottled water} => {other vegetables}",0.00101677681748856,0.588235294117647,3.04009149639888
"{root vegetables,specialty cheese} => {yogurt}",0.00111845449923742,0.523809523809524,3.75485908649174
"{root vegetables,specialty cheese} => {other vegetables}",0.00142348754448399,0.666666666666667,3.44543702925206
"{root vegetables,specialty cheese} => {whole milk}",0.00132180986273513,0.619047619047619,2.4227351107574
"{yogurt,specialty cheese} => {other vegetables}",0.0016268429079817,0.571428571428571,2.95323173935891
"{yogurt,specialty cheese} => {whole milk}",0.00203355363497712,0.714285714285714,2.79546358933546
"{whole milk,specialty cheese} => {yogurt}",0.00203355363497712,0.540540540540541,3.87479316050745
"{other vegetables,specialty cheese} => {whole milk}",0.00223690899847483,0.523809523809524,2.05000663217933
"{whole milk,specialty cheese} => {other vegetables}",0.00223690899847483,0.594594594594595,3.072957350414
"{butter,flower (seeds)} => {whole milk}",0.00101677681748856,0.625,2.44603064066852
"{root vegetables,flower (seeds)} => {other vegetables}",0.00111845449923742,0.578947368421053,2.99209005171889
"{root vegetables,flower (seeds)} => {whole milk}",0.00101677681748856,0.526315789473684,2.05981527635244
"{frozen potato products,fruit/vegetable juice} => {whole milk}",0.00111845449923742,0.6875,2.69063370473538
"{yogurt,frozen potato products} => {whole milk}",0.00152516522623284,0.681818181818182,2.66839706254748
"{frozen potato products,rolls/buns} => {whole milk}",0.00111845449923742,0.55,2.1525069637883
"{other vegetables,frozen potato products} => {whole milk}",0.00183019827147941,0.692307692307692,2.70944932504821
"{whole milk,frozen potato products} => {other vegetables}",0.00183019827147941,0.529411764705882,2.73608234675899
"{napkins,house keeping products} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908
"{whipped/sour cream,house keeping products} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428
"{sausage,house keeping products} => {whole milk}",0.00111845449923742,0.6875,2.69063370473538
"{tropical fruit,house keeping products} => {whole milk}",0.00111845449923742,0.6875,2.69063370473538
"{root vegetables,house keeping products} => {whole milk}",0.00132180986273513,0.764705882352941,2.99279043093561
"{yogurt,house keeping products} => {other vegetables}",0.00101677681748856,0.555555555555556,2.87119752437671
"{yogurt,house keeping products} => {whole milk}",0.00101677681748856,0.555555555555556,2.17424945837202
"{rolls/buns,house keeping products} => {whole milk}",0.00111845449923742,0.647058823529412,2.53236113386859
"{other vegetables,house keeping products} => {whole milk}",0.00172852058973055,0.62962962962963,2.46414938615496
"{white bread,sweet spreads} => {whole milk}",0.00101677681748856,0.666666666666667,2.60909935004642
"{pastry,sweet spreads} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331
"{root vegetables,sweet spreads} => {whole milk}",0.00122013218098627,0.6,2.34818941504178
"{yogurt,sweet spreads} => {soda}",0.00122013218098627,0.545454545454545,3.12801484230056
"{sweet spreads,soda} => {whole milk}",0.00142348754448399,0.56,2.191643454039
"{yogurt,sweet spreads} => {whole milk}",0.00122013218098627,0.545454545454545,2.13471765003798
"{turkey,curd} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247
"{turkey,curd} => {whole milk}",0.00101677681748856,0.666666666666667,2.60909935004642
"{turkey,butter} => {whole milk}",0.00101677681748856,0.666666666666667,2.60909935004642
"{turkey,whipped/sour cream} => {other vegetables}",0.00101677681748856,0.769230769230769,3.97550426452161
"{turkey,pastry} => {whole milk}",0.00111845449923742,0.578947368421053,2.26579680398769
"{turkey,bottled water} => {whole milk}",0.00122013218098627,0.75,2.93523676880223
"{turkey,tropical fruit} => {root vegetables}",0.00152516522623284,0.576923076923077,5.292946326062
"{turkey,root vegetables} => {tropical fruit}",0.00152516522623284,0.6,5.71802325581395
"{turkey,yogurt} => {tropical fruit}",0.00122013218098627,0.521739130434783,4.97219413549039
"{turkey,tropical fruit} => {other vegetables}",0.0016268429079817,0.615384615384615,3.18040341161728
"{turkey,tropical fruit} => {whole milk}",0.00142348754448399,0.538461538461538,2.1073494750375
"{turkey,root vegetables} => {other vegetables}",0.00193187595322827,0.76,3.92779821334735
"{turkey,root vegetables} => {whole milk}",0.00152516522623284,0.6,2.34818941504178
"{turkey,yogurt} => {other vegetables}",0.00142348754448399,0.608695652173913,3.1458338093171
"{turkey,yogurt} => {whole milk}",0.00152516522623284,0.652173913043478,2.55237979895846
"{turkey,rolls/buns} => {other vegetables}",0.00101677681748856,0.526315789473684,2.72008186519899
"{turkey,rolls/buns} => {whole milk}",0.00101677681748856,0.526315789473684,2.05981527635244
"{turkey,other vegetables} => {whole milk}",0.00213523131672598,0.538461538461538,2.1073494750375
"{turkey,whole milk} => {other vegetables}",0.00213523131672598,0.583333333333333,3.01475740059555
"{rice,sugar} => {whole milk}",0.00122013218098627,1,3.91364902506964
"{frozen vegetables,rice} => {other vegetables}",0.00111845449923742,0.785714285714286,4.0606936416185
"{frozen vegetables,rice} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{butter,rice} => {root vegetables}",0.00101677681748856,0.555555555555556,5.09691127694859
"{butter,rice} => {yogurt}",0.00101677681748856,0.555555555555556,3.98242630385488
"{butter,rice} => {other vegetables}",0.00122013218098627,0.666666666666667,3.44543702925206
"{butter,rice} => {whole milk}",0.00152516522623284,0.833333333333333,3.26137418755803
"{domestic eggs,rice} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892
"{rice,fruit/vegetable juice} => {root vegetables}",0.00111845449923742,0.578947368421053,5.31151806755695
"{rice,fruit/vegetable juice} => {other vegetables}",0.00132180986273513,0.684210526315789,3.53610642475869
"{rice,fruit/vegetable juice} => {whole milk}",0.00132180986273513,0.684210526315789,2.67775985925817
"{pip fruit,rice} => {whole milk}",0.00111845449923742,0.785714285714286,3.075009948269
"{citrus fruit,rice} => {root vegetables}",0.00101677681748856,0.555555555555556,5.09691127694859
"{citrus fruit,rice} => {other vegetables}",0.00111845449923742,0.611111111111111,3.15831727681439
"{citrus fruit,rice} => {whole milk}",0.00101677681748856,0.555555555555556,2.17424945837202
"{rice,bottled water} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428
"{tropical fruit,rice} => {root vegetables}",0.00101677681748856,0.526315789473684,4.82865278868814
"{tropical fruit,rice} => {other vegetables}",0.00122013218098627,0.631578947368421,3.26409823823879
